reference_number,gazetted_name,local_name,waterbody_id,reach_number,site_number,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,haul_number_pass_number,ef_seconds,ef_length_m,ef_width_m,enclosure,voltage,frequency,pulse,make,model,gill_net_type,length_m,depth_m,mesh_size,set,date_in,time_in,date_out,time_out,soak_time,habitat,species,stage,age,total_number,min_length_mm,max_length_mm,fish_activity,comments
1,Weigert Creek,197534_ds_ef1,00000ELKR,1,1,,,,electrofishing,1,1,4459,520,3.47999999999999,open,150,60,,other,halltech HT2000,,,,,,,,,,0,,Bull Trout,adult,,1,164,164,,
1,Weigert Creek,197534_ds_ef1,00000ELKR,1,1,,,,electrofishing,1,1,4459,520,3.47999999999999,open,150,60,,other,halltech HT2000,,,,,,,,,,0,,Brook Trout,fry,,1,65,65,,
1,Weigert Creek,197534_ds_ef1,00000ELKR,1,1,,,,electrofishing,1,1,4459,520,3.47999999999999,open,150,60,,other,halltech HT2000,,,,,,,,,,0,,Brook Trout,parr,,1,78,78,,
1,Weigert Creek,197534_ds_ef1,00000ELKR,1,1,,,,electrofishing,1,1,4459,520,3.47999999999999,open,150,60,,other,halltech HT2000,,,,,,,,,,0,,Brook Trout,juvenile,,1,135,135,,
1,Weigert Creek,197534_ds_ef1,00000ELKR,1,1,,,,electrofishing,1,1,4459,520,3.47999999999999,open,150,60,,other,halltech HT2000,,,,,,,,,,0,,Mountain Whitefish,juvenile,,1,139,139,,
1,Weigert Creek,197534_ds_ef1,00000ELKR,1,1,,,,electrofishing,1,1,4459,520,3.47999999999999,open,150,60,,other,halltech HT2000,,,,,,,,,,0,,Westslope Cutthroat Trout,parr,,3,90,103,,
1,Weigert Creek,197534_ds_ef1,00000ELKR,1,1,,,,electrofishing,1,1,4459,520,3.47999999999999,open,150,60,,other,halltech HT2000,,,,,,,,,,0,,Westslope Cutthroat Trout,juvenile,,2,117,125,,
1,Weigert Creek,197534_ds_ef1,00000ELKR,1,1,,,,visual observation above water,1,1,4459,520,3.47999999999999,open,150,60,,other,halltech HT2000,,,,,,,,,,0,,Westslope Cutthroat Trout,parr,,1,110,110,,
2,Weigert Creek,197534_ds_ef2,00000ELKR,1,2,,,,electrofishing,1,1,2995,,,open,120,30,12,other,halltech HT2000,,,,,,,,,,0,,Westslope Cutthroat Trout,adult,,1,144,144,,
2,Weigert Creek,197534_ds_ef2,00000ELKR,1,2,,,,visual observation above water,1,1,2995,,,open,120,30,12,other,halltech HT2000,,,,,,,,,,0,,Westslope Cutthroat Trout,parr,,3,75,100,,
2,Weigert Creek,197534_ds_ef2,00000ELKR,1,2,,,,visual observation above water,1,1,2995,,,open,120,30,12,other,halltech HT2000,,,,,,,,,,0,,Westslope Cutthroat Trout,juvenile,,1,120,120,,
2,Weigert Creek,197534_ds_ef2,00000ELKR,1,2,,,,visual observation above water,1,1,2995,,,open,120,30,12,other,halltech HT2000,,,,,,,,,,0,,Westslope Cutthroat Trout,adult,,2,150,170,,
3,Weigert Creek,197534_us_ef2,00000ELKR,2,3,,,,electrofishing,1,1,2120,300,4.95999999999999,open,150,60,,other,halltech HT2000,,,,,,,,,,0,,Westslope Cutthroat Trout,juvenile,,1,135,135,,
3,Weigert Creek,197534_us_ef2,00000ELKR,2,3,,,,electrofishing,1,1,2120,300,4.95999999999999,open,150,60,,other,halltech HT2000,,,,,,,,,,0,,Westslope Cutthroat Trout,adult,,6,205,340,,
3,Weigert Creek,197534_us_ef2,00000ELKR,2,3,,,,visual observation above water,1,1,2120,300,4.95999999999999,open,150,60,,other,halltech HT2000,,,,,,,,,,0,,Westslope Cutthroat Trout,adult,,6,180,230,,
