reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel,rowid,time
,Pinenut Creek,8300238_ds,,,,,,,2022-09-08,,,587045.920647714,6138705.94560761,,,1,13:29:27
,,8300128_us,,,,,,,2022-09-26,,,895685.137475006,1169514.60599952,,,2,12:35:51
,,8300128_us,,,,,,,2022-09-26,,,584907.826822317,6152505.18599817,,,3,12:50:07
,Trib to Kitwanga River,8300095_us,,,,,,,2022-09-09,,9,563426.037520261,6109612.136155,,,4,15:47:55
,Trib to Skeena River ,8301485,,,,,,,2022-09-10,,9,582870.573948695,6130486.15926372,,,5,10:13:24
,Trib to Skeena River,,,,,,,,2022-09-10,,9,583032.59385188,6130377.52638712,,,6,11:40:52
,Trib to Kispiox River ,8300042_us,,,,,,,2022-09-10,,9,582130.55146982,6135026.94050753,,,7,12:58:40
,Trib to Kispiox River ,8300042_ds,,,,,,,2022-09-10,,9,582193.311419223,6135015.54033429,,,8,14:38:38
,Sandstone Creek,4600913_us,,,,,,,2022-09-12,,9,582729.52939037,6073893.1115396,,,9,11:23:33
,Sandstone Creek,8530_ds_ef2,,,,,,,2022-09-12,,9,582693.266578533,6073705.33876947,,,10,13:58:20
,Sandstone Creek,8530_ds_ef3,,,,,,,2022-09-12,,9,582692.792427481,6073724.76479641,,,11,14:39:58
,8301994_ds,,,,,,,,2022-09-09,,,860692.245010236,1159176.95238305,,,12,15:14:27
,Tributary to  Kitwanga river,8301994_ds,,,,,,,2022-09-09,,,550301.493260038,6140711.2480886,,,13,15:21:44
,,Sterritt creek ds,,,,,,,2022-09-28,,,584842.932944943,6152410.49593288,,,14,10:12:00
,,Waterfall creek,,,,,,,2022-10-03,,,590212.317845558,6123219.87267307,,,15,10:34:47
,,Waterfall creek,,,,,,,2022-10-04,,,590236.927443617,6123135.87525703,,,16,11:28:37
,Pinenut Creek,8302257_us,,,,,,,2022-09-08,,9,587052.5254923,6138709.57467896,,,17,13:44:56
,Tributary to Kitwanga River,8301994_us,,,,,,,2022-09-09,,9,550306.738961546,6140706.36527874,,,18,14:52:11
,Tea Creek,8300095_ds,,,,,,,2022-09-09,,9,563386.415318971,6109556.92901213,,,19,17:43:29
,,,,,,,,,2022-09-11,,,618826.924621842,6071767.65404803,,,20,09:17:15
,Sandstone Creek ,8530_ds_ef1,,,,,,,2022-09-12,,9,582688.739000016,6073700.1224027,,,21,12:06:20
,Sandstone Creek ,8530_us_ef1,,,,,,,2022-09-13,,9,582795.298262263,6073960.44626038,,,22,11:39:32
,Sandstone Creek ,8530_us_ef3,,,,,,,2022-09-13,,9,582832.107395053,6074021.41253959,,,23,15:22:36
,Tributary to Owen Creek,197379_ds_ef1,,,,,,,2022-09-15,,9,640952.269151206,6005913.60235783,,,24,12:48:19
,Tributary to Owen Creek,197379_us_ef1,,,,,,,2022-09-15,,9,641024.507534166,6005981.84052496,,,25,13:04:29
,5 Mile Creek,,,,,,,,2022-09-16,,,981227.551864481,5797324.40565168,,,26,18:59:29
,Wiegert Creek,,,,,,,,2022-09-26,,,,,,,27,12:48:30
,Trib to Skeena River ,8301485_US,,,,,,,2022-09-10,,,582845.685820998,6130495.21870025,,,28,10:08:31
,,,,,,,,,2022-09-12,,9,582717.10864175,6073874.38477961,,,29,11:27:01
,Sandstone Creek,8530_us_ef2,,,,,,,2022-09-13,,9,582816.310499961,6074015.77228748,,,30,14:29:31
